id,ratio_TSS_0,ratio_TSS_1
ENST00000652395.1,,
ENST00000611168.1,,
ENST00000611403.1,,
ENST00000619065.1,,
ENST00000342888.3,301.0,
ENST00000611876.1,,
ENST00000453783.2,,
ENST00000437537.1,,
ENST00000412448.5,,
ENST00000428850.2,,
ENST00000445651.1,,
ENST00000419447.5,,
ENST00000342005.5,,
ENST00000412938.5,,
ENST00000511549.1,,
ENST00000623570.1,,
ENST00000614596.2,,
ENST00000413981.5,,
ENST00000638240.1,,
ENST00000331444.12,,
ENST00000608842.1,,
ENST00000357068.11,,
ENST00000420436.5,,
ENST00000334029.6,,
ENST00000640084.1,,
ENST00000610940.4,,
ENST00000624224.1,,
ENST00000675671.1,,
ENST00000438934.5,,
ENST00000636418.1,,
ENST00000399539.4,,
ENST00000604539.1,,
ENST00000637415.1,,
ENST00000603208.1,,
ENST00000652053.1,,
ENST00000481698.1,,
ENST00000384012.1,1.1175778953556732,0.8636983189459336
ENST00000609958.1,0.7392438070404173,0.8519067012217697
ENST00000412461.2,1.0,1.0
ENST00000629517.1,1.0,0.9231360491929285
ENST00000456035.1,0.8572448251249107,0.782703172533681
ENST00000263196.12,,901.0
ENST00000545799.5,,901.0
ENST00000537045.5,,901.0
ENST00000450724.1,,
ENST00000609936.1,,
ENST00000399635.4,,
ENST00000252137.11,,400.99999999999994
ENST00000086933.3,,
ENST00000565162.2,,
ENST00000451283.5,1.0,1.2724795640326976
ENST00000215882.10,,
ENST00000658236.1,1.3322259136212624,0.4293865905848787
ENST00000617926.4,,
ENST00000622493.4,,
ENST00000433141.1,,
ENST00000516131.1,,
ENST00000446618.1,1.0,1.0
ENST00000621271.4,3.4875621890547266,
ENST00000427926.6,500.99999999999994,
ENST00000664918.1,,
ENST00000463821.3,1.2997002997002998,1.3568879371877232
ENST00000340170.8,,
ENST00000263208.5,,
ENST00000333130.4,6.970149253731344,5.488778054862844
ENST00000399568.5,,2.98019801980198
ENST00000399562.9,,301.0
ENST00000431090.1,,
ENST00000607934.1,1.1537870049980776,1.0322476620445016
ENST00000608816.1,1.1363016810540663,1.0277700638711469
ENST00000399523.5,1901.0000000000002,22.782178217821784
ENST00000263202.15,1401.0,19.811881188118814
ENST00000407835.6,,1.9950248756218907
ENST00000437685.6,,1.4975124378109452
ENST00000263201.7,701.0,5.318936877076413
ENST00000404724.7,3.4875621890547266,3.992518703241896
ENST00000661478.1,,
ENST00000618236.2,,
ENST00000403084.1,,
ENST00000413119.2,,
ENST00000406028.1,,
ENST00000629028.1,,
ENST00000420012.1,,
ENST00000452326.1,,
ENST00000455784.7,,
ENST00000406395.5,,
ENST00000455843.5,,
ENST00000383045.7,,1001.0
ENST00000438754.6,,1201.0
ENST00000366425.4,,2.492537313432836
ENST00000359500.7,,
ENST00000332710.8,,
ENST00000329705.11,,
ENST00000649276.2,,
ENST00000424559.2,1.9950248756218907,1.0
ENST00000403325.5,5.9504950495049505,1001.0
ENST00000329517.11,601.0,701.0
ENST00000328554.9,601.0,701.0
ENST00000405640.1,601.0,601.0
ENST00000407472.5,500.99999999999994,400.99999999999994
ENST00000405009.5,,
ENST00000485358.5,1.5706134094151212,0.8573466476462197
ENST00000462330.5,0.6670366259711432,1.1426533523537803
ENST00000420617.1,1.4987531172069826,1.3322259136212624
ENST00000400518.5,1.4987531172069826,
ENST00000491939.6,1.3322259136212624,
ENST00000542719.6,1.0,
ENST00000676678.1,1.0,
ENST00000400519.6,0.3340732519422863,
ENST00000334363.14,0.3340732519422863,
ENST00000400521.7,0.7780244173140954,
ENST00000400525.6,0.7780244173140954,
ENST00000403184.5,1.9966777408637875,601.0
ENST00000361682.11,2.32890365448505,901.0
ENST00000403710.5,2.32890365448505,901.0
ENST00000407537.5,1.7481296758104738,1101.0
ENST00000678868.1,2.993355481727575,1501.0
ENST00000678769.1,1.4991680532445923,2.497504159733777
ENST00000428707.2,1.2853067047075606,1.6659267480577136
ENST00000406520.7,1.0,1.1665741254858413
ENST00000678255.1,1.0713775874375446,1.0
ENST00000449653.5,2.498501498501499,1.3476749239461103
ENST00000585066.1,0.7242330230954843,0.6714755034995
ENST00000401994.5,1.4975124378109452,
ENST00000406522.5,1.4975124378109452,
ENST00000406259.1,,1.9950248756218907
ENST00000263207.8,,
ENST00000401886.5,,
ENST00000420290.6,,
ENST00000432883.5,,
ENST00000434570.6,,
ENST00000447208.6,,
ENST00000456048.5,,
ENST00000398042.6,,
ENST00000327374.9,,
ENST00000401833.5,,
ENST00000385288.3,,
ENST00000628442.1,1.664451827242525,1.4991680532445923
ENST00000600090.1,0.4550408719346049,0.8947922146238821
ENST00000609644.5,,
ENST00000600617.5,,
ENST00000601746.5,,
ENST00000598339.5,,
ENST00000609191.1,,
ENST00000596334.5,,
ENST00000619837.1,,
ENST00000383024.6,,
ENST00000351989.8,400.99999999999994,
ENST00000580330.1,0.7502081598667777,1.1996007984031936
ENST00000407755.1,1.0,1.1996007984031936
ENST00000408439.3,1.1665278934221481,1.6993006993006996
